category	repo	stars	note
aitools	salimplay8379-cyber/roblox-npc-ai-demo	1	Roblox NPC AI system featuring patrol behavior, player detection, pathfinding navigation, obstacle jumping, and chase logic.
aitools	saymuC/SKILL-Roblox-Studio	1	Skill para LLMS como Codex, Claude e outros onde eles podem interagir com o Roblox Studio.
aitools	ScarletxHunter/scarlet-releases	1	Scarlet Studios — AI assistant + premium asset packs for Roblox Studio. Public installer downloads + auto-update manifest. Site: scarletxstudios.com
aitools	schmusch/roblox-ai-workflow	1	Multi-tool SSOT skill set for AI-assisted Roblox game development — Claude Code, Gemini CLI, Codex.
aitools	serenemm/ProjectSam	1	Sam is a Roblox AI powered by a cloud-hosted large language model (MiMo v2 Flash from OpenRouter), enabling dynamic, natural language interactions. The backe...
aitools	Sigmayraffykaw/RobloxForge	1	AI-assisted Roblox game builder inspired by the workflow of Lemonade.gg, with a web chat UI and Roblox Studio plugin bridge.
aitools	silentalex1/Prysmis-AI	1	upcoming roblox ai builder site
aitools	Sisyphus-glitch/agent-roblox	1	agent workflow crafting roblox
aitools	SkypeUser350/KeepRobloxOpen.com	1	KeepRobloxOpen.com is an initiative to make Roblox Corporation or RBLX or RBX revert Updates to Roblox 2017 but with actual moderaters not AI and make Roblox...
aitools	Sof-0007/Roblox-Studio-y-Blender-MCP	1	El objetivo es mostrar cómo se pueden usar herramientas de desarrollo y modelado (Roblox Studio y Blender) junto con MCP para automatizar pruebas, controlar ...
aitools	sshakhmamed/robloxBot	1	An AI that can recognize objects in a roblox game and preform actions based on that.
aitools	SuperInstance/lau-a2ui	1	Rendering-agnostic state for PLATO — one world state rendered as ASCII, MUD, HTML, Unity, Godot, Roblox, Telegram, or voice
aitools	SuperInstance/roblox-craftmind-agents	1	Core Lua framework for Roblox agents with self-improving, token-saving logic
aitools	TerraByte-Dev/ai-roblox-starter	1	A blank project folder that makes your AI good at your Roblox game. Play with FEEDBACK.md open, send 'Read FEEDBACK, iterate', ship patch notes for free.
aitools	testing2122/RobloxIDE-UI	1	A modular Roblox UI library for a code IDE with AI chat interface, featuring smooth animations and a midnight/purple theme
aitools	TheFunnyMan120/roblox-datastore-mcp	1	MCP server for Roblox Open Cloud Datastore API v2 — 18 tools for reading, writing, and querying game datastores from AI agents
aitools	TonyD365/Roickbot	1	A tool that can connect your Roblox Studio with Claude Code or any AI Agents that can use MCP Tools.
aitools	undef1n9d/korone-mcp	1	MCP bridge for Roblox Studio 2021, written by ai
aitools	unpronounceable-ordersphenisciformes466/roblox-best-practices-skill	1	Apply framework-agnostic coding standards to your Roblox projects for cleaner, secure, and efficient Luau scripts.
aitools	valac36/MidnigtHorrorsScript	1	RBLX Script for MH game
aitools	valency-studio/ZeroScript	1	Roblox Studio MCP Bridge AI
aitools	velumix/Abraxius	1	A Windows-hosted Roblox Studio companion for verified Luau sync, live inspection, and AI-assisted development.
aitools	vibe-meister/Roblox-Plugin-GPT-TEXT-BOX	1	roblox plugin that spawns a chat box and uses calls ex: (+grass) to create grass
aitools	victorhaleinc-boop/EverLua-Beta-Releases	1	Official releases for EverLua Beta, an open-source AI agent for Roblox Studio.
aitools	vitormenoli/Roblox	1	Roblox desenvolvido do 0 com gemini
aitools	VortexDQ/VortexDQ-Roblox-AI-Controller	1	AI-powered Roblox game builder with WebSocket integration
aitools	VTILServer/oxSB	1	An AI Test to see if the model could revive oxSB/VoidSB.
aitools	weeaboo/datastores.nvim	1	Neovim plugin for browsing and editing Roblox DataStores via the Open Cloud API. Fully built by Claude Code.
aitools	WheresRace/clipqa-mcp	1	Background window recording and frame-level evidence for AI-assisted QA via MCP.
aitools	xtrair/figma-to-roblox-ui	1	Claude skill for high-fidelity Figma → Roblox Studio GUI import (Scale-only, UIStroke ScaledSize, UICorner scale)
aitools	yannyhl/linkedsword-mcp	1	boshyxd + roblox mcp merged into one, cooler, sexier MCP.
aitools	zennicalles/lainbridge	1	a claude code addon for roblox studio game development
